"id_invoice","tanggal","id_customer","nama","id_distributor","id_cabang","cabang_sales","id_group","group","id_barang","nama_barang","brand_id","kode_lini","lini","kemasan","jumlah_barang","harga","mata_uang"
IN6086,2022-01-23,CUST55408,APOTEK SAHABAT,TD,CAB02,Padang,Z32,Apotek,BRG0003,AMPICILLIN,BRND009,"210",VNS,BOTOL,14,5781.0,IDR
IN6289,2022-01-23,CUST55492,APOTEK TAPAK,TD,CAB01,Aceh,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,25,10691.0,IDR
IN6280,2022-01-23,CUST55384,KLINIK SAHABAT,TD,CAB04,Tangerang,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,1,5648.0,IDR
IN6028,2022-01-23,CUST55420,APOTEK MERDEKA,EPM,CAB03,Bandung,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,98,1170.0,IDR
IN5991,2022-01-23,CUST55414,KLINIK SAHABAT,TD,CAB08,Tangerang,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,24,5648.0,IDR
IN6052,2022-01-23,CUST55385,APOTEK SINAR JAYA,TA,CAB05,Bekasi,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,5,2819.0,IDR
IN6210,2022-01-23,CUST55486,APOTEK MAJA,TA,CAB05,Kuningan,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,4,4592.0,IDR
IN6308,2022-01-23,CUST55516,APOTEK MAJA,TD,CAB05,Kuningan,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,67,4592.0,IDR
IN6307,2022-01-23,CUST55396,APOTEK MAJA,EPM,CAB05,Kuningan,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,14,4592.0,IDR
IN6089,2022-01-25,CUST55386,APOTEK SAHABAT,EPM,CAB06,Padang,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,9,4592.0,IDR
IN6146,2022-01-27,CUST55412,KLINIK GM,TA,CAB06,Jakarta,Z31,Klinik,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,25,10691.0,IDR
IN6161,2022-01-27,CUST55466,KLINIK SAHABAT,TA,CAB01,Tangerang,Z31,Klinik,BRG0001,ACYCLOVIR DUS,BRND007,"206",ETIKAL,DUS,24,4592.0,IDR
IN6124,2022-01-27,CUST55442,KLINIK GM,TA,CAB06,Jakarta,Z31,Klinik,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,95,10691.0,IDR
IN6003,2022-01-27,CUST55424,KLINIK DR. ANDRI,TD,CAB03,Lampung,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,9,5648.0,IDR
IN6238,2022-01-27,CUST55460,APOTEK SINAR JAYA,EPM,CAB09,Bekasi,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,9,1170.0,IDR
IN6136,2022-01-27,CUST55526,KLINIK SAHABAT,TD,CAB01,Tangerang,Z31,Klinik,BRG0001,ACYCLOVIR DUS,BRND007,"206",ETIKAL,DUS,78,4592.0,IDR
IN6258,2022-01-27,CUST55484,KLINIK DR. ANDRI,EPM,CAB03,Lampung,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,1,5648.0,IDR
IN6228,2022-01-27,CUST55508,APOTEK MAJA,TD,CAB01,Kuningan,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,12,5781.0,IDR
IN6327,2022-01-27,CUST55448,APOTEK MAJA,TD,CAB01,Kuningan,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,25,5781.0,IDR
IN6173,2022-01-27,CUST55406,KLINIK SAHABAT,EPM,CAB01,Tangerang,Z31,Klinik,BRG0001,ACYCLOVIR DUS,BRND007,"206",ETIKAL,DUS,12,4592.0,IDR
IN6299,2022-01-27,CUST55514,KLINIK DR. ANDRI,EPM,CAB03,Lampung,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,12,5648.0,IDR
IN6113,2022-01-27,CUST55400,APOTEK SINAR JAYA,TD,CAB09,Bekasi,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,12,1170.0,IDR
IN6188,2022-01-27,CUST55454,KLINIK DR. ANDRI,TD,CAB03,Lampung,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,10,5648.0,IDR
IN6095,2022-01-27,CUST55478,APOTEK MAJA,TD,CAB01,Kuningan,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,5,5781.0,IDR
IN6131,2022-01-27,CUST55418,APOTEK MAJA,TD,CAB01,Kuningan,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,10,5781.0,IDR
IN6062,2022-01-27,CUST55490,APOTEK SINAR JAYA,TA,CAB09,Bekasi,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,12,1170.0,IDR
IN6306,2022-01-27,CUST55430,APOTEK SINAR JAYA,EPM,CAB09,Bekasi,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,45,1170.0,IDR
IN6066,2022-01-27,CUST55538,APOTEK MAJA,EPM,CAB01,Kuningan,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,12,5781.0,IDR
IN6074,2022-01-27,CUST55472,KLINIK GM,TD,CAB06,Jakarta,Z31,Klinik,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,98,10691.0,IDR
IN6024,2022-01-27,CUST55394,KLINIK DR. ANDRI,TD,CAB03,Lampung,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,12,5648.0,IDR
IN6036,2022-01-27,CUST55388,APOTEK MAJA,TA,CAB08,Kuningan,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,23,5781.0,IDR
IN6058,2022-01-27,CUST55532,KLINIK GM,TD,CAB06,Jakarta,Z31,Klinik,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,34,10691.0,IDR
IN6219,2022-01-27,CUST55436,KLINIK SAHABAT,TA,CAB01,Tangerang,Z31,Klinik,BRG0001,ACYCLOVIR DUS,BRND007,"206",ETIKAL,DUS,34,4592.0,IDR
IN6205,2022-01-27,CUST55520,APOTEK SINAR JAYA,TA,CAB09,Bekasi,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,8,1170.0,IDR
IN6103,2022-01-27,CUST55496,KLINIK SAHABAT,TA,CAB01,Tangerang,Z31,Klinik,BRG0001,ACYCLOVIR DUS,BRND007,"206",ETIKAL,DUS,15,4592.0,IDR
IN6118,2022-01-27,CUST55502,KLINIK GM,TD,CAB06,Jakarta,Z31,Klinik,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,19,10691.0,IDR
IN6167,2022-01-28,CUST55491,APOTEK SAHABAT,EPM,CAB10,Padang,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,12,2338.0,IDR
IN6262,2022-01-28,CUST55419,KLINIK GM,TA,CAB02,Jakarta,Z31,Klinik,BRG0010,PARACETAMOL,BRND010,"208",SLCYL,BOTOL,67,6940.0,IDR
IN6013,2022-01-28,CUST55407,APOTEK SINAR JAYA,TD,CAB01,Bekasi,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND008,"203",MARCKS,DUS,25,3992.0,IDR
IN6247,2022-01-28,CUST55425,APOTEK TAPAK,TA,CAB04,Aceh,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,10,2819.0,IDR
IN6303,2022-01-28,CUST55539,KLINIK GM,TD,CAB02,Jakarta,Z31,Klinik,BRG0010,PARACETAMOL,BRND010,"208",SLCYL,BOTOL,95,6940.0,IDR
IN6246,2022-01-28,CUST55533,APOTEK MERDEKA,TA,CAB07,Bandung,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,34,8701.0,IDR
IN6253,2022-01-28,CUST55431,APOTEK SAHABAT,TD,CAB10,Padang,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,34,2338.0,IDR
IN6053,2022-01-28,CUST55437,APOTEK SINAR JAYA,EPM,CAB01,Bekasi,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND008,"203",MARCKS,DUS,44,3992.0,IDR
IN6141,2022-01-28,CUST55401,APOTEK SAHABAT,TD,CAB10,Padang,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,25,2338.0,IDR
IN6029,2022-01-28,CUST55389,KLINIK GM,EPM,CAB09,Jakarta,Z31,Klinik,BRG0010,PARACETAMOL,BRND010,"208",SLCYL,BOTOL,4,6940.0,IDR
IN5981,2022-01-28,CUST55443,APOTEK MERDEKA,EPM,CAB07,Bandung,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,76,8701.0,IDR
IN6199,2022-01-28,CUST55509,KLINIK GM,TD,CAB02,Jakarta,Z31,Klinik,BRG0010,PARACETAMOL,BRND010,"208",SLCYL,BOTOL,25,6940.0,IDR
IN6119,2022-01-28,CUST55449,KLINIK GM,TA,CAB02,Jakarta,Z31,Klinik,BRG0010,PARACETAMOL,BRND010,"208",SLCYL,BOTOL,14,6940.0,IDR
IN6314,2022-01-28,CUST55527,APOTEK SINAR JAYA,TA,CAB01,Bekasi,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND008,"203",MARCKS,DUS,45,3992.0,IDR
IN6116,2022-01-28,CUST55455,APOTEK TAPAK,TD,CAB04,Aceh,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,67,2819.0,IDR
IN6214,2022-01-28,CUST55461,APOTEK SAHABAT,TD,CAB10,Padang,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,21,2338.0,IDR
IN6162,2022-01-28,CUST55503,APOTEK MERDEKA,TA,CAB07,Bandung,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,12,8701.0,IDR
IN6292,2022-01-28,CUST55467,APOTEK SINAR JAYA,EPM,CAB01,Bekasi,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND008,"203",MARCKS,DUS,10,3992.0,IDR
IN6064,2022-01-28,CUST55515,APOTEK TAPAK,TD,CAB04,Aceh,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,10,2819.0,IDR
IN6200,2022-01-28,CUST55473,APOTEK MERDEKA,TA,CAB07,Bandung,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,5,8701.0,IDR
IN6184,2022-01-28,CUST55395,APOTEK TAPAK,TA,CAB04,Aceh,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,25,2819.0,IDR
IN6325,2022-01-28,CUST55521,APOTEK SAHABAT,EPM,CAB10,Padang,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,9,2338.0,IDR
IN6049,2022-01-28,CUST55479,KLINIK GM,TA,CAB02,Jakarta,Z31,Klinik,BRG0010,PARACETAMOL,BRND010,"208",SLCYL,BOTOL,9,6940.0,IDR
IN6172,2022-01-28,CUST55497,APOTEK SINAR JAYA,EPM,CAB01,Bekasi,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND008,"203",MARCKS,DUS,12,3992.0,IDR
IN6070,2022-01-28,CUST55485,APOTEK TAPAK,TD,CAB04,Aceh,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,23,2819.0,IDR
IN6230,2022-01-28,CUST55413,APOTEK MERDEKA,EPM,CAB07,Bandung,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,14,8701.0,IDR
IN6279,2022-01-30,CUST55529,KLINIK DR. ANDRI,TD,CAB03,Lampung,Z31,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,BRND010,"201",SLCYL,KAPSUL,20,6940.0,IDR
IN6163,2022-01-30,CUST55421,KLINIK SAHABAT,TD,CAB01,Tangerang,Z31,Klinik,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,5,2338.0,IDR
IN6323,2022-01-30,CUST55439,KLINIK DR. ANDRI,TA,CAB03,Lampung,Z31,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,BRND010,"201",SLCYL,KAPSUL,6,6940.0,IDR
IN6008,2022-01-30,CUST55469,KLINIK DR. ANDRI,TA,CAB03,Lampung,Z31,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,BRND010,"201",SLCYL,KAPSUL,12,6940.0,IDR
IN6104,2022-01-30,CUST55433,APOTEK MAJA,EPM,CAB01,Kuningan,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,45,8701.0,IDR
IN5982,2022-01-30,CUST55535,APOTEK SINAR JAYA,TD,CAB09,Bekasi,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,5,2819.0,IDR
IN6176,2022-01-30,CUST55403,APOTEK MAJA,EPM,CAB01,Kuningan,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,18,8701.0,IDR
IN6281,2022-01-30,CUST55415,APOTEK SINAR JAYA,TA,CAB09,Bekasi,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,10,2819.0,IDR
IN6278,2022-01-30,CUST55499,KLINIK DR. ANDRI,TD,CAB03,Lampung,Z31,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,BRND010,"201",SLCYL,KAPSUL,14,6940.0,IDR
IN6208,2022-01-30,CUST55475,APOTEK SINAR JAYA,TD,CAB09,Bekasi,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,8,2819.0,IDR
IN6305,2022-01-30,CUST55493,APOTEK MAJA,TA,CAB01,Kuningan,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,14,8701.0,IDR
IN6083,2022-01-30,CUST55487,KLINIK GM,EPM,CAB06,Jakarta,Z31,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,BRND008,"204",MARCKS,KAPSUL,2,3992.0,IDR
IN6248,2022-01-30,CUST55427,KLINIK GM,TD,CAB06,Jakarta,Z31,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,BRND008,"204",MARCKS,KAPSUL,100,3992.0,IDR
IN6245,2022-01-30,CUST55397,KLINIK GM,TD,CAB06,Jakarta,Z31,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,BRND008,"204",MARCKS,KAPSUL,34,3992.0,IDR
IN6287,2022-01-30,CUST55391,KLINIK SAHABAT,TD,CAB01,Tangerang,Z31,Klinik,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,17,2338.0,IDR
IN6038,2022-01-30,CUST55517,KLINIK GM,TA,CAB06,Jakarta,Z31,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,BRND008,"204",MARCKS,KAPSUL,98,3992.0,IDR
IN6235,2022-01-30,CUST55451,KLINIK SAHABAT,TD,CAB01,Tangerang,Z31,Klinik,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,10,2338.0,IDR
IN6099,2022-01-30,CUST55457,KLINIK GM,EPM,CAB06,Jakarta,Z31,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,BRND008,"204",MARCKS,KAPSUL,5,3992.0,IDR
IN6170,2022-01-30,CUST55505,APOTEK SINAR JAYA,TD,CAB09,Bekasi,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,14,2819.0,IDR
IN6122,2022-01-30,CUST55445,APOTEK SINAR JAYA,TD,CAB09,Bekasi,Z32,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,BRND006,"205",OGB & PH,TABLET,21,2819.0,IDR
IN6107,2022-01-30,CUST55511,KLINIK SAHABAT,EPM,CAB01,Tangerang,Z31,Klinik,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,24,2338.0,IDR
IN6276,2022-01-30,CUST55481,KLINIK SAHABAT,TD,CAB01,Tangerang,Z31,Klinik,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,1,2338.0,IDR
IN6108,2022-01-30,CUST55409,KLINIK DR. ANDRI,TA,CAB03,Lampung,Z31,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,BRND010,"201",SLCYL,KAPSUL,21,6940.0,IDR
IN6256,2022-01-30,CUST55463,APOTEK MAJA,TA,CAB01,Kuningan,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,12,8701.0,IDR
IN6240,2022-01-30,CUST55541,KLINIK SAHABAT,EPM,CAB01,Tangerang,Z31,Klinik,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,48,2338.0,IDR
IN6025,2022-01-30,CUST55523,APOTEK MAJA,TA,CAB01,Kuningan,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,7,8701.0,IDR
IN6152,2022-01-31,CUST55512,APOTEK SINAR JAYA,TD,CAB01,Bekasi,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,10,10691.0,IDR
IN6102,2022-01-31,CUST55392,APOTEK SINAR JAYA,TA,CAB01,Bekasi,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,11,10691.0,IDR
IN6195,2022-01-31,CUST55398,APOTEK MERDEKA,TA,CAB07,Bandung,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,67,5781.0,IDR
IN6175,2022-01-31,CUST55404,KLINIK GM,TD,CAB02,Jakarta,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,18,5648.0,IDR
IN6321,2022-01-31,CUST55410,APOTEK TAPAK,EPM,CAB04,Aceh,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,22,1170.0,IDR
IN6226,2022-01-31,CUST55416,APOTEK SAHABAT,EPM,CAB10,Padang,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,23,4592.0,IDR
IN6191,2022-01-31,CUST55422,APOTEK SINAR JAYA,TA,CAB01,Bekasi,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,4,10691.0,IDR
IN6042,2022-01-31,CUST55428,APOTEK MERDEKA,TD,CAB07,Bandung,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,67,5781.0,IDR
IN6050,2022-01-31,CUST55434,KLINIK GM,TD,CAB02,Jakarta,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,34,5648.0,IDR
IN6241,2022-01-31,CUST55440,APOTEK TAPAK,EPM,CAB04,Aceh,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,79,1170.0,IDR
IN6255,2022-01-31,CUST55446,APOTEK SAHABAT,TA,CAB10,Padang,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,22,4592.0,IDR
IN6263,2022-01-31,CUST55452,APOTEK SINAR JAYA,TA,CAB01,Bekasi,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,130,10691.0,IDR
IN6326,2022-01-31,CUST55458,APOTEK MERDEKA,TD,CAB07,Bandung,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,4,5781.0,IDR
IN6048,2022-01-31,CUST55464,KLINIK GM,EPM,CAB02,Jakarta,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,25,5648.0,IDR
IN6040,2022-01-31,CUST55470,APOTEK TAPAK,EPM,CAB04,Aceh,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,10,1170.0,IDR
IN6148,2022-01-31,CUST55476,APOTEK SAHABAT,TA,CAB10,Padang,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,9,4592.0,IDR
IN6015,2022-01-31,CUST55482,APOTEK SINAR JAYA,TD,CAB01,Bekasi,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,5,10691.0,IDR
IN6322,2022-01-31,CUST55488,APOTEK MERDEKA,TD,CAB07,Bandung,Z32,Apotek,BRG0009,AMBROXOL HC,BRND009,"207",VNS,BOTOL,17,5781.0,IDR
IN6079,2022-01-31,CUST55494,KLINIK GM,EPM,CAB02,Jakarta,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,34,5648.0,IDR
IN6186,2022-01-31,CUST55500,APOTEK TAPAK,TA,CAB04,Aceh,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,18,1170.0,IDR
